"day","aliveThatDay","diedThatDay","totalDeaths",
"476","55","4","688",
"477","56","1","689",
"478","56","1","690",
"479","56","4","694",
"480","56","0","694",
"481","57","2","696",
"482","57","1","697",
"483","55","2","699",
"484","53","4","703",
"485","52","2","705",
"486","52","1","706",
"487","53","1","707",
"488","54","1","708",
"489","54","1","709",
"490","55","2","711",
"491","55","1","712",
"492","55","1","713",
"493","54","3","716",
"494","53","1","717",
"495","50","3","720",
"496","50","0","720",
"497","53","0","720",
"498","53","2","722",
"499","55","1","723",
"500","55","1","724",
"501","55","1","725",
"502","54","2","727",
"503","54","2","729",
"504","51","3","732",
"505","48","3","735",
"506","48","1","736",
"507","50","0","736",
"508","52","0","736",
"509","49","3","739",
"510","48","1","740",
"511","44","4","744",
"512","46","2","746",
"513","51","0","746",
"514","50","1","747",
"515","53","0","747",
"516","51","2","749",
"517","50","2","751",
"518","51","0","751",
"519","51","2","753",
"520","52","0","753",
"521","52","0","753",
"522","55","0","753",
"523","57","1","754",
"524","52","5","759",
"525","52","1","760",
"526","51","2","762",
"527","52","2","764",
"528","52","2","766",
"529","54","2","768",
"530","55","2","770",
"531","58","0","770",
"532","61","1","771",
"533","62","2","773",
"534","61","3","776",
"535","60","2","778",
"536","58","3","781",
"537","57","2","783",
"538","57","2","785",
"539","60","1","786",
"540","59","2","788",
"541","58","1","789",
"542","60","1","790",
"543","57","3","793",
"544","53","5","798",
"545","53","1","799",
"546","53","1","800",
"547","54","0","800",
"548","53","1","801",
"549","51","3","804",
"550","51","2","806",
"551","48","4","810",
"552","50","1","811",
"553","50","2","813",
"554","52","1","814",
"555","52","2","816",
"556","52","1","817",
"557","52","1","818",
"558","51","4","822",
"559","51","1","823",
"560","49","2","825",
"561","47","2","827",
"562","50","0","827",
"563","48","2","829",
"564","46","4","833",
"565","47","0","833",
"566","45","6","839",
"567","46","1","840",
"568","49","0","840",
"569","47","2","842",
"570","47","0","842",
"571","46","2","844",
"572","47","1","845",
"573","48","0","845",
"574","48","0","845",
"575","50","1","846",
"576","50","1","847",
"577","51","0","847",
"578","50","2","849",
"579","47","3","852",
"580","48","0","852",
"581","49","1","853",
"582","48","1","854",
"583","45","4","858",
"584","45","2","860",
"585","45","2","862",
"586","45","1","863",
"587","44","2","865",
"588","44","2","867",
"589","45","1","868",
"590","43","3","871",
"591","42","3","874",
"592","43","1","875",
"593","43","2","877",
"594","44","2","879",
"595","43","2","881",
"596","45","0","881",
"597","47","1","882",
"598","47","0","882",
"599","45","2","884",
"600","46","1","885",
"601","49","0","885",
"602","49","1","886",
"603","49","0","886",
"604","49","1","887",
"605","51","1","888",
"606","53","1","889",
